;title;rating;ratingLevel;release year;user rating score;user rating size
221;Velvet;TV-14;Parents strongly cautioned. May be unsuitable for children ages 14 and under.;2016;86.0;82
222;The Crown;TV-MA;For mature audiences.  May not be suitable for children 17 and under.;2016;84.0;80
223;Kurt Seyit & Sura;TV-14;Parents strongly cautioned. May be unsuitable for children ages 14 and under.;2014;86.0;82
224;The Returned;TV-14;Parents strongly cautioned. May be unsuitable for children ages 14 and under.;2015;86.0;82
225;The Girl in the Book;TV-MA;For mature audiences.  May not be suitable for children 17 and under.;2015;89.0;82
226;Quantico;TV-14;Parents strongly cautioned. May be unsuitable for children ages 14 and under.;2016;88.0;80
227;100 Metros;TV-MA;For mature audiences.  May not be suitable for children 17 and under.;2016;89.0;82
228;Dexter;TV-MA;For mature audiences.  May not be suitable for children 17 and under.;2013;95.0;80
229;Leverage;TV-PG;Parental guidance suggested. May not be suitable for all children.;2012;86.0;80
230;Burn Notice;TV-14;Parents strongly cautioned. May be unsuitable for children ages 14 and under.;2013;85.0;80
231;Luther;TV-14;Parents strongly cautioned. May be unsuitable for children ages 14 and under.;2015;69.0;80
232;Hawaii Five-0;TV-14;dialogue, language, sexual situations and violence;2016;96.0;80
233;Last Man Standing;TV-PG;Parental guidance suggested. May not be suitable for all children.;2015;97.0;80
234;Person of Interest;TV-14;Parents strongly cautioned. May be unsuitable for children ages 14 and under.;2016;93.0;80
235;Touch;TV-14;Parents strongly cautioned. May be unsuitable for children ages 14 and under.;2012;68.0;80
236;Breakout Kings;TV-14;Parents strongly cautioned. May be unsuitable for children ages 14 and under.;2012;88.0;80
237;The Following;TV-14;Parents strongly cautioned. May be unsuitable for children ages 14 and under.;2015;86.0;82
238;Drugs, Inc.;TV-14;Parents strongly cautioned. May be unsuitable for children ages 14 and under.;2015;86.0;82
239;Longmire;TV-14;Parents strongly cautioned. May be unsuitable for children ages 14 and under.;2016;92.0;80
240;Ripper Street;TV-MA;For mature audiences.  May not be suitable for children 17 and under.;2016;89.0;82
241;The Fall;TV-MA;For mature audiences.  May not be suitable for children 17 and under.;2016;61.0;80
242;Death in Paradise;TV-14;Parents strongly cautioned. May be unsuitable for children ages 14 and under.;2016;77.0;80
243;Marvel's Agents of S.H.I.E.L.D.;TV-PG;Parental guidance suggested. May not be suitable for all children.;2016;89.0;80
244;Crossing Lines;TV-14;Parents strongly cautioned. May be unsuitable for children ages 14 and under.;2015;66.0;80
